start_datetime,end_datetime,target
2022-03-27T08:06:30,2022-03-27T08:06:30,COSMOS 2251 DEB (35671)
2022-03-28T01:36:16,2022-03-28T01:36:16,IRIDIUM 911 (24842)
2022-03-30T14:39:10,2022-03-30T14:39:10,IRIDIUM 911 (24842)
2022-04-06T04:30:24,2022-04-06T04:30:24,NOAA 16 DEB (41416)
2022-04-06T11:12:12,2022-04-06T11:12:12,FENGYUN 1C DEB (30680)
2022-04-06T20:23:11,2022-04-06T20:23:11,ARIANE 40 R/B (20443)
2022-04-06T20:59:43,2022-04-06T20:59:43,FLOCK 3P 20 (41950)
2022-04-06T21:13:29,2022-04-06T21:13:29,NOAA 16 DEB (41064)
2022-04-07T07:18:11,2022-04-07T07:18:11,FENGYUN 1C DEB (31359)
2022-04-07T08:54:11,2022-04-07T08:54:11,FENGYUN 1C DEB (30237)
2022-04-07T11:34:11,2022-04-07T11:34:11,FLOCK 4S 29 (47520)
2022-04-07T14:54:43,2022-04-07T14:54:43,SPACEBEE-63 (47442)
2022-04-07T18:55:50,2022-04-07T18:55:50,FENGYUN 1C DEB (30054)
2022-04-08T23:10:15,2022-04-08T23:10:15,STARLINK-2572 (48372)
2022-04-09T07:27:40,2022-04-09T07:27:40,LEMUR 2 JOHANLORAN (44084)
2022-04-09T12:30:42,2022-04-09T12:30:42,SPACEBEE-46 (47426)
2022-04-09T12:43:27,2022-04-09T12:43:27,FENGYUN 1C DEB (29956)
2022-04-09T20:44:20,2022-04-09T20:44:20,COSMOS 1408 DEB (51230)
2022-04-12T01:46:29,2022-04-12T01:46:29,IRIDIUM 51 (25262)
2022-04-12T08:27:55,2022-04-12T08:27:55,OKEAN 2 (20510)
2022-04-12T09:00:47,2022-04-12T09:00:47,STARLINK-2301 (48021)
2022-04-12T09:53:35,2022-04-12T09:53:35,SL-8 R/B (22591)
2022-04-12T10:19:21,2022-04-12T10:19:21,STARLINK-3708 (52111)
2022-04-12T12:21:14,2022-04-12T12:21:14,STARLINK-2325 (47979)
2022-04-12T15:08:59,2022-04-12T15:08:59,CZ-4C R/B (44820)
2022-04-12T20:23:24,2022-04-12T20:23:24,STARLINK-2183 (47765)
2022-04-12T22:32:16,2022-04-12T22:32:16,TIROS N (11060)
2022-04-13T21:25:32,2022-04-13T21:25:32,STARLINK-3705 (52103)
2022-04-13T23:25:05,2022-04-13T23:25:05,STARLINK-1180 (45076)
2022-04-14T04:51:58,2022-04-14T04:51:58,ONEWEB-0026 (45139)
2022-04-14T07:15:50,2022-04-14T07:15:50,ONEWEB-0351 (49215)
2022-04-14T10:24:20,2022-04-14T10:24:20,ONEWEB-0416 (51625)
2022-04-14T10:35:15,2022-04-14T10:35:15,ONEWEB-0372 (49298)
2022-04-25T16:38:00,2022-04-25T16:38:00,SL-14 DEB (45348)
2022-04-30T05:01:00,2022-04-30T05:01:00,ONEWEB-0157 (48055)
2022-05-05T03:44:40,2022-05-05T03:44:40,ONEWEB-0006 (44061)
2022-06-09T10:45:00,2022-06-09T10:45:00,STARLINK-1522 (46027)
2022-06-10T04:30:30,2022-06-10T04:30:30,MAST (31126)
2022-08-17T21:13:01,2022-08-17T21:13:01,ONEWEB-0041 (45148)
2022-08-29T16:17:00,2022-08-29T16:17:00,TDS 1 (40076)
2022-11-26T18:49:20,2022-11-26T18:49:20,STARLINK-1478 (45755)
2022-11-29T22:13:12,2022-11-29T22:13:12,THOR BURNER 2A DEB (29139)
2022-12-14T05:48:00,2022-12-14T05:48:00,ONEWEB-0334 (49200)
2023-01-29T02:28:00,2023-01-29T02:28:00,BRITE-U UNIBRITE (39092)
2023-02-23T12:25:01,2023-02-23T12:25:01,UNKNOWN (270232)
2023-03-08T23:49:27,2023-03-08T23:49:27,OV1-4 R/B (2124)
2023-03-13T22:34:30,2023-03-13T22:34:30,STARLINK-5276 (55399)
2023-03-23T11:46:31,2023-03-23T11:46:31,FENGYUN 1C DEB (31066)
2023-03-29T16:15:59,2023-03-29T16:15:59,TECHNOSAT (42829)
2023-04-01T05:52:14,2023-04-01T05:52:14,STARLINK-5894 (55965)
2023-04-06T00:56:14,2023-04-06T00:56:14,COSMOS 375 DEB (18866)
2023-04-29T18:35:32,2023-04-29T18:35:32,DELTA 1 DEB (21336)
2023-05-20T16:21:56,2023-05-20T16:21:56,PACE (40022)
2023-05-25T16:06:38,2023-05-25T16:06:38,SCOUT B-1 R/B (6180)
2023-05-26T08:01:20,2023-05-26T08:01:20,STARLINK-3789 (52283)
2023-06-20T00:50:33,2023-06-20T00:50:33,THORAD AGENA D DEB (4979)
2023-06-30T19:47:53,2023-06-30T19:47:53,CSpOC FOSTER-1992
2023-07-19T20:54:48,2023-07-19T20:54:48,PACE (40022)
2023-07-27T09:06:11,2023-07-27T09:06:11,STARLINK-6371 (57381)
2023-08-19T07:12:38,2023-08-19T07:12:38,STARLINK-4763 (53805)
2023-08-20T14:04:26,2023-08-20T14:04:26,CZ-4C DEB (47535)
2023-09-10T06:13:31,2023-09-10T06:13:31,LABSAT (51086)
2023-09-13T08:29:03,2023-09-13T08:29:03,SKYKRAFT-1B (55058)
2023-09-16T04:58:33,2023-09-16T04:58:33,FENGYUN 1C DEB (30218)
2023-09-16T22:25:21,2023-09-16T22:25:21,DMSP 5D-2 F13 DEB (42304)
